Code,Location_n,Country,Latitude,Longitude,Date_colle,number_col,Afum_01,number_ARA,ARAf_01,colonies_A,SAMPLE_1_e,urban_rura,tasmax
WS18-161-01,1,UK,51.53,-3.34,22/12/2018,4,1,1,1,2,21,urban,11.15378571
WS18-166-01,1,UK,55.94,-3.31,24/12/2018,0,0,0,0,0,21,urban,4.527783394
WS18-117-01,1,UK,56.51,-3.26,22/12/2018,0,0,0,0,0,3,rural,7.630179882
WS18-117-02,2,UK,56.51,-3.26,22/12/2018,1,1,0,0,1,3,rural,7.630179882
WS18-084-01,1,UK,55.59,-3.25,18/12/2018,2,1,0,0,1,1,rural,9.694918633
WS18-089-01,1,UK,55.95,-3.24,17/12/2018,0,0,0,0,0,21,urban,11.14681053
WS18-079-01,1,UK,51.47,-3.23,17/12/2018,0,0,0,0,0,21,urban,11.48771763
WS18-067-01,1,UK,55.97,-3.21,17/12/2018,0,0,0,0,0,21,urban,11.23605633
WS18-067-02,2,UK,55.97,-3.21,19/12/2018,2,1,0,0,1,21,urban,8.176961899
WS18-087-01,1,UK,55.91,-3.21,19/12/2018,0,0,0,0,0,21,urban,7.917759895
WS18-084-02,2,UK,55.86,-3.20,19/12/2018,0,0,0,0,0,21,urban,7.02669096
WS18-085-02,2,UK,55.86,-3.20,19/12/2018,1,1,0,0,1,21,urban,7.02669096
WS18-086-02,2,UK,55.86,-3.20,19/12/2018,0,0,0,0,0,21,urban,7.02669096
WS18-089-02,2,UK,55.96,-3.20,17/12/2018,3,1,0,0,1,20,urban,11.30074787
WS18-087-02,2,UK,55.91,-3.20,19/12/2018,1,1,0,0,1,1,rural,7.656000614
WS18-098-02,2,UK,53.22,-3.18,19/12/2018,0,0,0,0,0,21,urban,7.064013481
WS18-098-01,1,UK,53.22,-3.18,17/12/2018,1,1,0,0,1,21,urban,10.06434059
WS18-079-02,2,UK,51.48,-3.18,17/12/2018,0,0,0,0,0,20,urban,11.91161633
WS18-072-01,1,UK,55.92,-3.17,19/12/2018,0,0,0,0,0,21,urban,8.22332859
WS18-072-02,2,UK,55.92,-3.17,19/12/2018,0,0,0,0,0,20,urban,8.047230721
WS18-086-01,1,UK,55.90,-3.14,19/12/2018,2,1,0,0,1,21,urban,7.788490295
WS18-155-01,1,UK,50.95,-3.12,19/12/2018,0,0,0,0,0,21,urban,9.296774864
WS18-155-02,2,UK,50.95,-3.12,19/12/2018,0,0,0,0,0,21,urban,9.296774864
WS18-052-01,1,UK,55.93,-3.04,17/12/2018,2,1,0,0,1,20,urban,11.0208025
WS18-052-02,2,UK,55.93,-3.04,17/12/2018,2,1,0,0,1,20,urban,11.0208025
WS18-019-01,1,UK,55.93,-3.04,17/12/2018,1,1,0,0,1,21,urban,10.94841099
WS18-019-02,2,UK,55.93,-3.04,17/12/2018,1,1,0,0,1,21,urban,10.94841099
WS18-103-01,1,UK,55.91,-3.02,17/12/2018,15,1,0,0,1,1,rural,10.54440594
WS18-103-02,2,UK,55.91,-3.02,17/12/2018,5,1,0,0,1,1,rural,10.54440594
WS18-028-02,2,UK,53.80,-3.01,17/12/2018,5,1,1,1,2,21,urban,11.59047031
WS18-028-01,1,UK,53.80,-3.01,17/12/2018,11,1,0,0,1,21,urban,11.59047031
WS18-097-02,2,UK,56.46,-2.97,19/12/2018,0,0,0,0,0,20,urban,7.813854694
WS18-153-01,1,UK,53.36,-2.91,20/12/2018,2,1,2,1,2,21,urban,9.623352051
WS18-131-02,2,UK,53.17,-2.91,17/12/2018,2,1,0,0,1,21,urban,11.46224785
WS18-153-02,2,UK,53.38,-2.90,20/12/2018,0,0,0,0,0,20,urban,9.527611732
WS18-131-01,1,UK,53.19,-2.88,17/12/2018,1,1,0,0,1,20,urban,11.45590115
WS18-080-02,2,UK,56.27,-2.86,17/12/2018,0,0,0,0,0,21,urban,8.645427704
WS18-080-01,1,UK,56.27,-2.86,17/12/2018,2,1,0,0,1,21,urban,8.645427704
WS18-097-01,1,UK,56.27,-2.84,19/12/2018,0,0,0,0,0,4,rural,6.615170956
WS18-085-01,1,UK,56.03,-2.82,19/12/2018,0,0,0,0,0,21,urban,8.421425819
WS18-149-01,1,UK,55.77,-2.80,06/01/2019,0,0,0,0,0,21,urban,10.28993225
WS18-105-01,1,UK,54.03,-2.79,19/12/2018,0,0,0,0,0,21,urban,8.280902863
WS18-090-01,1,UK,54.26,-2.78,19/12/2018,1,1,0,0,1,21,urban,8.94213295
WS18-105-02,2,UK,54.03,-2.78,19/12/2018,0,0,0,0,0,21,urban,8.280902863
WS18-149-02,2,UK,55.77,-2.78,06/01/2019,3,1,0,0,1,21,urban,10.40280342
WS18-036-02,2,UK,54.01,-2.78,17/12/2018,2,1,0,0,1,20,urban,10.82849026
WS18-090-02,2,UK,54.01,-2.78,19/12/2018,1,1,0,0,1,20,urban,8.15378952
WS18-104-02,2,UK,54.01,-2.78,19/12/2018,0,0,0,0,0,20,urban,8.15378952
WS18-053-02,2,UK,53.77,-2.76,17/12/2018,7,1,0,0,1,21,urban,11.24856949
WS18-053-01,1,UK,53.77,-2.76,17/12/2018,8,1,0,0,1,21,urban,11.24856949
WS18-082-02,2,UK,51.13,-2.74,19/12/2018,1,1,0,0,1,21,urban,10.34281158
WS18-082-01,1,UK,51.12,-2.74,19/12/2018,0,0,0,0,0,21,urban,10.20589638
WS18-036-01,1,UK,54.19,-2.65,17/12/2018,0,0,0,0,0,21,urban,10.47227955
WS18-069-02,2,UK,53.31,-2.65,20/12/2018,0,0,0,0,0,20,urban,9.614613533
WS18-145-02,2,UK,51.49,-2.60,21/12/2018,0,0,0,0,0,21,urban,11.32421875
WS18-145-01,1,UK,51.49,-2.59,21/12/2018,0,0,0,0,0,21,urban,11.19072342
WS18-058-01,1,UK,51.46,-2.57,17/12/2018,8,1,0,0,1,20,urban,11.7407608
WS18-104-01,1,UK,54.44,-2.52,19/12/2018,13,1,0,0,1,4,rural,5.974109173
WS18-058-02,2,UK,51.54,-2.48,14/12/2018,0,0,0,0,0,21,urban,3.858425856
