Latitude,Longitude,country,arab_perc
50.88,-1.86,England,3.8872
50.75,-1.85,England,1.1315
51.42,-1.85,England,61.8781
51.83,-1.84,England,41.0788
51.55,-1.84,England,3.5272
50.83,-1.82,England,2.4109
55.46,-1.82,England,13.5753
52.40,-1.80,England,3.8767
51.07,-1.80,England,8.4604
53.92,-1.80,England,1.7982
51.07,-1.79,England,5.8481
51.07,-1.79,England,4.1212
51.08,-1.79,England,11.1248
51.52,-1.79,England,16.1773
51.54,-1.78,England,7.7901
50.85,-1.78,England,5.0221
51.56,-1.78,England,0.6557
51.56,-1.78,England,0.6526
54.78,-1.77,England,12.4659
54.78,-1.77,England,10.9273
52.41,-1.76,England,2.2271
51.59,-1.75,England,13.0503
51.58,-1.74,England,4.8065
53.90,-1.74,England,0.0994
53.90,-1.74,England,0.0994
51.55,-1.74,England,2.0655
53.32,-1.73,England,0.1637
51.35,-1.73,England,56.5548
51.34,-1.73,England,56.6441
51.34,-1.73,England,55.8774
51.34,-1.72,England,55.4441
51.92,-1.72,England,25.7034
55.18,-1.71,England,42.5923
51.62,-1.71,England,30.5423
53.84,-1.70,England,2.0242
51.98,-1.70,England,43.5627
51.13,-1.70,England,39.2912
54.03,-1.69,England,0.2337
53.91,-1.68,England,11.1919
52.39,-1.65,England,26.8554
50.75,-1.64,England,12.7074
53.80,-1.64,England,0.8125
51.80,-1.63,England,60.3284
53.01,-1.62,England,7.1024
53.88,-1.62,England,2.4716
55.01,-1.61,England,14.978
54.98,-1.61,England,13.5324
54.97,-1.61,England,8.854
54.99,-1.61,England,13.6874
51.45,-1.60,England,45.3715
51.22,-1.60,England,61.546
52.39,-1.59,England,20.3277
52.39,-1.59,England,14.6145
55.00,-1.58,England,8.7435
55.01,-1.58,England,10.1462
53.80,-1.58,England,0.0003
54.98,-1.57,England,1.1304
52.33,-1.57,England,28.8555
54.77,-1.57,England,8.3434
52.38,-1.56,England,27.1969
54.72,-1.56,England,57.67
53.14,-1.56,England,0.1
53.39,-1.55,England,2.0215
52.29,-1.54,England,16.4271
55.18,-1.54,England,34.6455
