Code,Location_n,Country,Latitude,Longitude,Date_colle,number_col,Afum_01,number_ARA,ARAf_01,colonies_A,SAMPLE_1_e,urban_rura,tasmax
SA19-005-01,1,UK,55.90,-3.14,19/03/2019,0,0,0,0,0,21,urban,11.79372025
SA19-129-01,1,UK,50.95,-3.12,20/03/2019,0,0,0,0,0,21,urban,12.8117857
SA19-129-02,2,UK,50.95,-3.12,20/03/2019,0,0,0,0,0,21,urban,12.8117857
SA19-141-01,1,UK,54.25,-3.06,21/03/2019,0,0,0,0,0,4,rural,12.91241741
SA19-141-02,2,UK,54.25,-3.06,21/03/2019,0,0,0,0,0,4,rural,12.91241741
SA19-014-01,1,UK,55.93,-3.04,20/03/2019,1,1,0,0,1,21,urban,15.56602955
SA19-014-02,2,UK,55.93,-3.04,20/03/2019,1,1,0,0,1,21,urban,15.56602955
SA19-115-01,1,UK,55.91,-3.02,21/03/2019,2,1,0,0,1,1,rural,14.30343533
SA19-128-01,1,UK,53.80,-3.01,20/03/2019,0,0,0,0,0,21,urban,12.64343166
SA19-128-02,2,UK,53.80,-3.01,20/03/2019,0,0,0,0,0,21,urban,12.64343166
SA19-221-02,2,UK,53.32,-2.97,20/03/2019,0,0,0,0,0,21,urban,16.39872932
SA19-182-02,2,UK,56.46,-2.97,20/03/2019,6,1,1,1,2,20,urban,15.27380371
SA19-240-01,1,UK,53.36,-2.91,22/03/2019,1,1,0,0,1,21,urban,12.12956047
SA19-191-02,2,UK,53.17,-2.91,20/03/2019,1,1,0,0,1,21,urban,18.75984383
SA19-240-02,2,UK,53.38,-2.90,22/03/2019,0,0,0,0,0,20,urban,12.06151962
SA19-025-02,2,UK,53.19,-2.89,20/03/2019,1,1,0,0,1,20,urban,18.43320084
SA19-191-01,1,UK,53.19,-2.88,20/03/2019,0,0,0,0,0,20,urban,18.43320084
SA19-029-01,1,UK,56.27,-2.86,20/03/2019,1,1,0,0,1,21,urban,13.87818718
SA19-029-02,2,UK,56.27,-2.86,20/03/2019,0,0,0,0,0,21,urban,13.87818718
SA19-182-01,1,UK,56.27,-2.84,20/03/2019,1,1,0,0,1,4,rural,14.09469986
SA19-139-01,1,UK,54.07,-2.83,20/03/2019,0,0,0,0,0,21,urban,11.25540352
SA19-026-01,1,UK,56.03,-2.82,20/03/2019,1,1,0,0,1,21,urban,14.81322289
SA19-127-01,1,UK,54.08,-2.81,20/03/2019,2,1,0,0,1,21,urban,11.39202213
SA19-015-01,1,UK,55.77,-2.80,19/03/2019,1,1,0,0,1,21,urban,10.70738029
SA19-210-01,1,UK,54.02,-2.79,assume20/03/2019,0,0,0,0,0,21,urban,11.49307632
SA19-109-01,1,UK,54.03,-2.79,21/03/2019,0,0,0,0,0,21,urban,11.43155956
SA19-140-01,1,UK,54.03,-2.79,21/03/2019,0,0,0,0,0,21,urban,11.40753841
SA19-110-01,1,UK,54.04,-2.78,20/03/2019,1,1,0,0,1,20,urban,11.50029659
SA19-033-01,1,UK,54.26,-2.78,20/03/2019,0,0,0,0,0,21,urban,10.41371536
SA19-140-02,2,UK,54.03,-2.78,21/03/2019,0,0,0,0,0,21,urban,11.40753841
SA19-138-02,2,UK,54.02,-2.78,20/03/2019,0,0,0,0,0,21,urban,11.52235889
SA19-015-02,2,UK,55.77,-2.78,19/03/2019,0,0,0,0,0,21,urban,10.88961029
SA19-034-02,2,UK,54.01,-2.78,20/03/2019,1,1,0,0,1,20,urban,11.53259182
SA19-033-02,2,UK,54.01,-2.78,20/03/2019,0,0,0,0,0,20,urban,11.53259182
SA19-110-02,2,UK,54.01,-2.78,20/03/2019,0,0,0,0,0,20,urban,11.53259182
SA19-109-02,2,UK,54.01,-2.78,21/03/2019,0,0,0,0,0,20,urban,11.33761215
SA19-034-01,1,UK,54.14,-2.76,20/03/2019,0,0,0,0,0,21,urban,11.39885902
SA19-194-02,2,UK,53.01,-2.76,20/03/2019,2,1,0,0,1,21,urban,17.13271523
SA19-194-01,1,UK,53.01,-2.76,20/03/2019,0,0,0,0,0,21,urban,17.13271523
SA19-064-02,2,UK,53.77,-2.76,20/03/2019,0,0,0,0,0,21,urban,14.47254658
SA19-064-01,1,UK,53.77,-2.76,20/03/2019,0,0,0,0,0,21,urban,14.47254658
SA19-232-01,1,UK,54.60,-2.75,22/03/2019,0,0,0,0,0,21,urban,9.626120567
SA19-127-02,2,UK,54.07,-2.75,22/03/2019,3,1,0,0,1,5,rural,11.39202213
SA19-160-01,1,UK,51.25,-2.75,22/03/2019,0,0,0,0,0,21,urban,11.8099947
SA19-234-01,1,UK,51.12,-2.74,28/03/2019,0,0,0,0,0,21,urban,15.27172852
SA19-234-02,2,UK,51.12,-2.74,28/03/2019,0,0,0,0,0,21,urban,15.27172852
SA19-160-02,2,UK,51.23,-2.71,22/03/2019,2,1,0,0,1,21,urban,11.77334404
SA19-138-01,1,UK,54.19,-2.65,20/03/2019,0,0,0,0,0,21,urban,11.23532486
SA19-232-02,2,UK,54.52,-2.64,22/03/2019,0,0,0,0,0,4,rural,8.500040054
SA19-035-02,2,UK,53.41,-2.63,20/03/2019,2,1,0,0,1,21,urban,17.12603951
SA19-036-02,2,UK,53.50,-2.58,20/03/2019,0,0,0,0,0,21,urban,16.34067917
SA19-036-01,1,UK,53.50,-2.58,20/03/2019,0,0,0,0,0,21,urban,16.34067917
SA19-235-01,1,UK,51.46,-2.57,19/03/2019,2,1,0,0,1,20,urban,12.91319275
SA19-184-01,1,UK,53.03,-2.56,20/03/2019,2,1,1,1,2,21,urban,18.19820404
SA19-062-02,2,UK,53.42,-2.56,20/03/2019,0,0,0,0,0,21,urban,17.31555939
SA19-230-02,2,UK,51.05,-2.56,assume20/03/2019,1,1,0,0,1,4,rural,12.29833603
SA19-230-01,1,UK,51.05,-2.56,assume20/03/2019,0,0,0,0,0,4,rural,12.29833603
SA19-062-01,1,UK,53.41,-2.55,20/03/2019,0,0,0,0,0,21,urban,17.34177589
SA19-192-01,1,UK,53.42,-2.53,20/03/2019,0,0,0,0,0,21,urban,17.28116035
SA19-035-01,1,UK,53.40,-2.52,20/03/2019,0,0,0,0,0,21,urban,17.51768684
SA19-235-02,2,UK,51.54,-2.48,19/03/2019,0,0,0,0,0,21,urban,12.60425472
SA19-184-02,2,UK,53.06,-2.47,20/03/2019,0,0,0,0,0,21,urban,18.79906273
SA19-147-02,2,UK,53.38,-2.47,21/03/2019,2,1,0,0,1,21,urban,14.28352261
SA19-147-01,1,UK,53.38,-2.47,21/03/2019,0,0,0,0,0,5,rural,14.28352261
SA19-192-02,2,UK,53.55,-2.41,20/03/2019,0,0,0,0,0,20,urban,16.14843941
SA19-161-02,2,UK,51.38,-2.39,22/03/2019,0,0,0,0,0,21,urban,12.09845448
SA19-161-01,1,UK,51.37,-2.38,22/03/2019,1,1,0,0,1,21,urban,12.22623825
SA19-048-01,1,UK,52.76,-2.37,20/03/2019,0,0,0,0,0,21,urban,17.66484261
SA19-048-02,2,UK,52.76,-2.37,20/03/2019,2,1,0,0,1,20,urban,17.66484261
SA19-057-02,2,UK,53.51,-2.33,20/03/2019,0,0,0,0,0,21,urban,16.64034462
SA19-046-01,1,UK,52.09,-2.33,20/03/2019,0,0,0,0,0,21,urban,13.67212772
SA19-103-01,1,UK,51.88,-2.29,20/03/2019,0,0,0,0,0,21,urban,13.19727135
SA19-103-02,2,UK,51.88,-2.29,20/03/2019,0,0,0,0,0,21,urban,13.19727135
SA19-050-02,2,UK,53.00,-2.28,20/03/2019,1,1,0,0,1,21,urban,16.63398361
SA19-195-01,1,UK,53.49,-2.28,20/03/2019,5,1,0,0,1,20,urban,17.38885117
SA19-046-02,2,UK,52.19,-2.24,20/03/2019,0,0,0,0,0,21,urban,15.17472649
SA19-050-01,1,UK,52.99,-2.21,20/03/2019,1,1,1,1,2,21,urban,17.21035576
SA19-012-01,1,UK,53.06,-2.21,20/03/2019,1,1,0,0,1,20,urban,16.76856995
SA19-231-02,2,UK,53.33,-2.21,20/03/2019,0,0,0,0,0,21,urban,17.26420975
SA19-137-02,2,UK,53.38,-2.18,21/03/2019,0,0,0,0,0,20,urban,14.2143383
SA19-057-01,1,UK,53.51,-2.17,20/03/2019,0,0,0,0,0,21,urban,16.95595741
SA19-137-01,1,UK,53.39,-2.16,21/03/2019,1,1,0,0,1,20,urban,14.07871819
SA19-042-01,1,UK,53.36,-2.16,21/03/2019,1,1,0,0,1,21,urban,14.01984119
SA19-047-02,2,UK,52.35,-2.16,20/03/2019,2,1,0,0,1,21,urban,15.07862282
SA19-028-01,1,UK,57.14,-2.14,20/03/2019,1,1,0,0,1,21,urban,15.36141968
SA19-028-02,2,UK,57.14,-2.14,20/03/2019,0,0,0,0,0,21,urban,15.36141968
SA19-180-01,1,UK,51.18,-2.13,21/03/2019,0,0,0,0,0,21,urban,12.96500969
SA19-180-02,2,UK,51.18,-2.13,21/03/2019,1,1,0,0,1,21,urban,12.96500969
SA19-135-02,2,UK,53.31,-2.11,21/03/2019,1,1,0,0,1,1,rural,13.78997231
SA19-027-01,1,UK,57.15,-2.10,20/03/2019,0,0,0,0,0,21,urban,15.45358849
SA19-009-01,1,UK,55.03,-2.10,19/03/2019,0,0,0,0,0,21,urban,12.14902401
SA19-027-02,2,UK,57.16,-2.10,20/03/2019,0,0,0,0,0,20,urban,15.53043842
SA19-091-01,1,UK,53.16,-2.09,20/03/2019,0,0,0,0,0,21,urban,16.86008453
SA19-091-02,2,UK,53.16,-2.09,20/03/2019,0,0,0,0,0,21,urban,16.86008453
SA19-090-01,1,UK,53.16,-2.09,21/03/2019,0,0,0,0,0,21,urban,13.8666153
SA19-090-02,2,UK,53.16,-2.09,21/03/2019,0,0,0,0,0,21,urban,13.8666153
SA19-217-02,2,UK,52.78,-2.07,20/03/2019,0,0,0,0,0,21,urban,16.58434105
SA19-217-01,1,UK,52.78,-2.07,20/03/2019,0,0,0,0,0,21,urban,16.58434105
SA19-044-02,2,UK,52.50,-2.05,20/03/2019,0,0,0,0,0,21,urban,14.58299065
SA19-044-01,1,UK,52.50,-2.05,20/03/2019,0,0,0,0,0,21,urban,14.58299065
SA19-047-01,1,UK,52.36,-2.04,20/03/2019,0,0,0,0,0,21,urban,14.67518711
SA19-009-02,2,UK,54.97,-2.02,19/03/2019,2,1,0,0,1,21,urban,12.9572382
SA19-179-02,2,UK,50.71,-2.02,20/03/2019,0,0,0,0,0,21,urban,13.06217957
SA19-086-01,1,UK,53.46,-1.95,20/03/2019,1,1,0,0,1,21,urban,16.24415016
SA19-209-02,2,UK,53.44,-1.93,20/03/2019,1,1,0,0,1,21,urban,16.28977966
SA19-077-02,2,UK,52.34,-1.93,20/03/2019,2,1,0,0,1,21,urban,14.46214104
SA19-077-01,1,UK,52.34,-1.93,20/03/2019,3,1,0,0,1,21,urban,14.46214104
SA19-049-01,1,UK,52.75,-1.92,20/03/2019,0,0,0,0,0,21,urban,16.29053307
SA19-049-02,2,UK,52.75,-1.92,20/03/2019,1,1,0,0,1,21,urban,16.29053307
SA19-148-01,1,UK,52.41,-1.92,20/03/2019,1,1,0,0,1,20,urban,14.84848499
SA19-179-01,1,UK,50.88,-1.86,20/03/2019,0,0,0,0,0,21,urban,12.84204483
SA19-054-02,2,UK,50.75,-1.85,20/03/2019,1,1,0,0,1,21,urban,12.78087997
SA19-054-01,1,UK,50.75,-1.85,20/03/2019,1,1,0,0,1,21,urban,12.78087997
SA19-001-09,9,UK,51.83,-1.84,20/03/2019,0,0,0,0,0,21,urban,12.28205013
SA19-228-02,2,UK,51.55,-1.84,20/03/2019,1,1,0,0,1,21,urban,12.49424553
SA19-053-01,1,UK,50.83,-1.82,20/03/2019,3,1,0,0,1,21,urban,13.09866619
SA19-085-01,1,UK,53.92,-1.80,20/03/2019,1,1,0,0,1,21,urban,15.70187569
SA19-159-01,1,UK,51.08,-1.79,20/03/2019,1,1,0,0,1,21,urban,12.4155817
SA19-159-02,2,UK,51.08,-1.79,20/03/2019,0,0,0,0,0,21,urban,12.4155817
SA19-228-01,1,UK,51.52,-1.79,20/03/2019,0,0,0,0,0,21,urban,12.47768497
SA19-155-01,1,UK,52.43,-1.79,22/03/2019,0,0,0,0,0,21,urban,13.37086105
SA19-155-02,2,UK,52.43,-1.79,22/03/2019,0,0,0,0,0,21,urban,13.37086105
SA19-085-02,2,UK,53.75,-1.78,19/03/2019,0,0,0,0,0,21,urban,11.40290451
SA19-053-02,2,UK,50.85,-1.78,20/03/2019,0,0,0,0,0,21,urban,13.19213295
SA19-226-02,2,UK,54.78,-1.77,20/03/2019,1,1,0,0,1,21,urban,12.11965466
SA19-164-01,1,UK,51.59,-1.75,23/03/2019,1,1,0,0,1,21,urban,12.0545063
SA19-167-01,1,UK,51.58,-1.74,20/03/2019,0,0,0,0,0,21,urban,12.76153088
SA19-167-02,2,UK,51.58,-1.74,20/03/2019,1,1,0,0,1,21,urban,12.76153088
SA19-052-01,1,UK,53.90,-1.74,20/03/2019,0,0,0,0,0,21,urban,16.14502716
SA19-096-02,2,UK,51.55,-1.74,21/03/2019,1,1,0,0,1,21,urban,12.83487511
SA19-096-01,1,UK,51.55,-1.74,21/03/2019,2,1,0,0,1,21,urban,12.83487511
SA19-162-02,2,UK,51.34,-1.73,22/03/2019,2,1,0,0,1,21,urban,10.56622124
SA19-162-01,1,UK,51.34,-1.73,22/03/2019,2,1,2,1,2,4,rural,10.53603554
SA19-001-08,8,UK,51.93,-1.72,20/03/2019,0,0,0,0,0,21,urban,11.99987602
SA19-031-01,1,UK,55.18,-1.71,20/03/2019,1,1,0,0,1,21,urban,13.07603931
SA19-164-02,2,UK,51.62,-1.71,23/03/2019,0,0,0,0,0,20,urban,11.72218132
SA19-010-01,1,UK,54.03,-1.69,20/03/2019,2,1,0,0,1,21,urban,14.62446213
SA19-010-02,2,UK,54.03,-1.69,20/03/2019,0,0,0,0,0,21,urban,14.62446213
SA19-001-07,7,UK,51.98,-1.69,20/03/2019,1,1,0,0,1,21,urban,13.10805321
SA19-052-02,2,UK,53.91,-1.68,20/03/2019,0,0,0,0,0,21,urban,16.20598412
SA19-173-01,1,UK,52.39,-1.65,20/03/2019,0,0,0,0,0,21,urban,14.51588917
SA19-213-01,1,UK,50.75,-1.64,22/03/2019,0,0,0,0,0,21,urban,10.22466755
SA19-213-02,2,UK,50.75,-1.64,22/03/2019,0,0,0,0,0,21,urban,10.22466755
SA19-001-10,10,UK,51.80,-1.63,20/03/2019,1,1,0,0,1,21,urban,12.50564098
SA19-116-01,1,UK,53.88,-1.62,21/03/2019,0,0,0,0,0,21,urban,12.98183441
SA19-116-02,2,UK,53.88,-1.62,21/03/2019,0,0,0,0,0,21,urban,12.98183441
SA19-016-02,2,UK,54.98,-1.61,13/03/2019,0,0,0,0,0,20,urban,12.03446102
SA19-123-01,1,UK,52.39,-1.59,20/03/2019,0,0,0,0,0,21,urban,14.43364239
SA19-016-01,1,UK,55.01,-1.58,13/03/2019,0,0,0,0,0,21,urban,12.11979103
SA19-171-01,1,UK,53.80,-1.58,20/03/2019,0,0,0,0,0,20,urban,17.61780357
SA19-226-01,1,UK,54.72,-1.56,20/03/2019,0,0,0,0,0,21,urban,13.59180641
SA19-171-02,2,UK,53.80,-1.55,20/03/2019,1,1,0,0,1,20,urban,17.38332939
SA19-102-02,2,UK,53.39,-1.55,21/03/2019,2,1,0,0,1,21,urban,13.52979183
SA19-031-02,2,UK,55.18,-1.54,20/03/2019,0,0,0,0,0,20,urban,13.0528698
SA19-055-01,1,UK,52.39,-1.54,20/03/2019,0,0,0,0,0,21,urban,15.17659473
SA19-055-02,2,UK,52.39,-1.54,20/03/2019,0,0,0,0,0,21,urban,15.17659473
SA19-001-06,6,UK,51.94,-1.54,20/03/2019,0,0,0,0,0,20,urban,12.29226303
SA19-222-01,1,UK,53.31,-1.53,21/03/2019,1,1,0,0,1,21,urban,14.05787849
SA19-001-05,5,UK,51.94,-1.52,20/03/2019,1,1,0,0,1,20,urban,12.29226303
SA19-205-01,1,UK,53.84,-1.51,21/03/2019,0,0,0,0,0,21,urban,13.50622749
SA19-221-01,1,UK,53.38,-1.51,20/03/2019,0,0,0,0,0,21,urban,18.44766426
SA19-045-02,2,UK,53.77,-1.50,20/03/2019,0,0,0,0,0,20,urban,18.01753426
SA19-173-02,2,UK,52.42,-1.50,22/03/2019,0,0,0,0,0,20,urban,14.05521202
SA19-102-01,1,UK,53.38,-1.48,21/03/2019,1,1,0,0,1,20,urban,14.74544334
SA19-123-02,2,UK,52.38,-1.47,20/03/2019,0,0,0,0,0,21,urban,15.10578442
SA19-175-02,2,UK,50.93,-1.47,19/03/2019,1,1,0,0,1,20,urban,13.03551483
SA19-001-01,1,UK,53.38,-1.45,18/03/2019,0,0,0,0,0,20,urban,9.581974983
SA19-017-01,1,UK,51.58,-1.45,20/03/2019,0,0,0,0,0,21,urban,12.38472271
SA19-001-04,4,UK,51.91,-1.45,20/03/2019,1,1,0,0,1,21,urban,12.76826477
SA19-175-01,1,UK,50.93,-1.44,19/03/2019,1,1,0,0,1,21,urban,13.03850555
SA19-045-01,1,UK,53.79,-1.39,20/03/2019,0,0,0,0,0,21,urban,17.53384018
SA19-153-01,1,UK,52.86,-1.38,20/03/2019,0,0,0,0,0,21,urban,16.37259674
SA19-153-02,2,UK,52.86,-1.38,20/03/2019,0,0,0,0,0,21,urban,16.37259674
SA19-122-01,1,UK,53.76,-1.36,20/03/2019,3,1,2,1,2,21,urban,17.64242363
SA19-122-02,2,UK,53.76,-1.36,21/03/2019,5,1,0,0,1,21,urban,14.2321682
SA19-001-03,3,UK,51.84,-1.35,20/03/2019,1,1,1,1,2,21,urban,12.88844872
SA19-205-02,2,UK,53.72,-1.35,21/03/2019,1,1,0,0,1,20,urban,14.58039284
SA19-139-02,2,UK,54.57,-1.34,20/03/2019,0,0,0,0,0,21,urban,15.6411972
SA19-187-01,1,UK,52.06,-1.32,20/03/2019,1,1,0,0,1,20,urban,13.46147728
SA19-189-02,2,UK,51.57,-1.31,20/03/2019,0,0,0,0,0,21,urban,12.42050934
SA19-024-02,2,UK,51.57,-1.31,20/03/2019,0,0,0,0,0,20,urban,12.42050934
SA19-241-01,1,UK,51.64,-1.31,22/03/2019,1,1,0,0,1,21,urban,11.41858196
SA19-163-02,2,UK,51.57,-1.30,20/03/2019,1,1,0,0,1,20,urban,12.42050934
SA19-001-02,2,UK,51.65,-1.29,20/03/2019,1,1,0,0,1,21,urban,13.08993149
SA19-030-01,1,UK,51.69,-1.27,20/03/2019,1,1,0,0,1,21,urban,12.99776936
SA19-002-02,2,UK,51.63,-1.27,20/03/2019,0,0,0,0,0,21,urban,13.06843853
SA19-098-02,2,UK,51.75,-1.26,21/03/2019,1,1,0,0,1,20,urban,12.62551785
SA19-074-02,2,UK,51.75,-1.25,20/03/2019,0,0,0,0,0,20,urban,13.18850803
SA19-187-02,2,UK,51.75,-1.25,20/03/2019,0,0,0,0,0,20,urban,13.1664772
SA19-024-01,1,UK,51.62,-1.24,20/03/2019,0,0,0,0,0,21,urban,12.96424007
SA19-095-01,1,UK,51.60,-1.24,20/03/2019,0,0,0,0,0,21,urban,12.81026268
SA19-208-01,1,UK,51.74,-1.23,20/03/2019,1,1,1,1,2,21,urban,13.21207619
SA19-186-02,2,UK,51.61,-1.22,23/03/2019,0,0,0,0,0,21,urban,12.9025116
SA19-186-01,1,UK,51.61,-1.22,23/03/2019,0,0,0,0,0,21,urban,12.9025116
SA19-004-02,2,UK,51.61,-1.22,20/03/2019,0,0,0,0,0,21,urban,12.93792057
SA19-018-02,2,UK,51.76,-1.22,assume20/03/2019,0,0,0,0,0,21,urban,13.21186256
SA19-018-01,1,UK,51.76,-1.22,assume20/03/2019,0,0,0,0,0,21,urban,13.21186256
SA19-099-02,2,UK,51.76,-1.21,21/03/2019,2,1,0,0,1,20,urban,12.43435574
SA19-017-02,2,UK,51.71,-1.21,21/03/2019,0,0,0,0,0,21,urban,12.62053394
SA19-095-02,2,UK,51.75,-1.21,20/03/2019,0,0,0,0,0,20,urban,12.92477608
SA19-020-02,2,UK,52.24,-1.21,20/03/2019,0,0,0,0,0,21,urban,13.83012962
SA19-030-02,2,UK,51.72,-1.20,20/03/2019,0,0,0,0,0,20,urban,13.06332874
SA19-020-01,1,UK,52.25,-1.16,20/03/2019,0,0,0,0,0,20,urban,13.6701746
SA19-188-01,1,UK,51.91,-1.15,20/03/2019,0,0,0,0,0,21,urban,13.16391468
SA19-189-01,1,UK,51.91,-1.15,20/03/2019,0,0,0,0,0,21,urban,13.16391468
SA19-019-01,1,UK,51.57,-1.15,21/03/2019,0,0,0,0,0,21,urban,12.51669502
SA19-019-02,2,UK,51.57,-1.15,21/03/2019,0,0,0,0,0,21,urban,12.51669502
SA19-088-01,1,UK,51.60,-1.14,20/03/2019,1,1,0,0,1,21,urban,12.78833961
SA19-088-02,2,UK,51.60,-1.14,20/03/2019,0,0,0,0,0,21,urban,12.78833961
SA19-076-02,2,UK,51.60,-1.13,20/03/2019,1,1,0,0,1,21,urban,12.78833961
SA19-098-01,1,UK,51.60,-1.13,21/03/2019,0,0,0,0,0,21,urban,12.5155592
SA19-099-01,1,UK,51.74,-1.13,21/03/2019,0,0,0,0,0,21,urban,12.3497963
SA19-003-02,2,UK,51.60,-1.13,20/03/2019,0,0,0,0,0,21,urban,12.72347355
